ID	Word	Lemma	POS	Features	(EverythingElse)
254	обсуждать	обсуждать	VERB	Aspect=Imp|VerbForm=Inf|Voice=Act	@dib1981m-words#@dib1981m-words#152.013#152.286
255	каждую	каждый	DET	Case=Acc|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#152.286#152.559
256	эээ	эээ	INTJ	_	@dib1981m-words#@dib1981m-words#152.559#152.832
257	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#152.832#153.105
258	как	как	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#153.105#153.378
259	бы	бы	PART	_	@dib1981m-words#@dib1981m-words#153.378#153.651
260	деталь	деталь	NOUN	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#153.651#153.924
261	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#153.924#154.197
262	выпадающую	выпадающий	VERB	Aspect=Imp|Case=Acc|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act	@dib1981m-words#@dib1981m-words#154.197#154.47
263	из	из	ADP	_	@dib1981m-words#@dib1981m-words#154.47#154.743
264	закона	закон	NOUN	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#154.743#155.016
265	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#155.016#155.289
266	вот	вот	PART	_	@dib1981m-words#@dib1981m-words#155.289#155.562
267	мы	мы	PRON	Case=Nom|Number=Plur|Person=1	@dib1981m-words#@dib1981m-words#155.562#155.835
268	обсуждаем	обсуждать	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#155.835#156.108
269	правовое	правовой	ADJ	Case=Acc|Degree=Pos|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#156.108#156.381
270	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#156.381#156.654
271	то	то	PRON	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#156.654#156.927
272	есть	быть	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#156.927#157.2
273	как	как	SCONJ	_	@dib1981m-words#@dib1981m-words#157.2#157.473
274	сделать	делать	VERB	Aspect=Perf|VerbForm=Inf|Voice=Act	@dib1981m-words#@dib1981m-words#157.473#157.746
275	с	с	ADP	_	@dib1981m-words#@dib1981m-words#157.746#158.019
276	помощью	помощь	NOUN	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#158.019#158.292
277	правового	правовой	ADJ	Case=Gen|Degree=Pos|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#158.292#158.565
278	поля	поле	NOUN	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#158.565#158.838
279	равноправие	равноправие	NOUN	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#158.838#159.111
280	и	и	CCONJ	_	@dib1981m-words#@dib1981m-words#159.111#159.384
281	потому	потому	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#159.384#159.657
282	что	что	SCONJ	_	@dib1981m-words#@dib1981m-words#159.657#159.93
283	таких	такой	DET	Case=Gen|Number=Plur	@dib1981m-words#@dib1981m-words#159.93#160.203
284	примеров	пример	NOUN	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	@dib1981m-words#@dib1981m-words#160.203#160.476
285	из	из	ADP	_	@dib1981m-words#@dib1981m-words#160.476#160.749
286	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#160.749#161.022
287	как	как	SCONJ	_	@dib1981m-words#@dib1981m-words#161.022#161.295
288	бы	бы	PART	_	@dib1981m-words#@dib1981m-words#161.295#161.568
289	я	я	PRON	Case=Nom|Number=Sing|Person=1	@dib1981m-words#@dib1981m-words#161.568#161.841
290	просто	просто	PART	_	@dib1981m-words#@dib1981m-words#161.841#162.114
291	им	они	PRON	Case=Ins|Gender=Masc|Number=Sing|Person=3	@dib1981m-words#@dib1981m-words#162.114#162.387
292	не	не	PART	_	@dib1981m-words#@dib1981m-words#162.387#162.66
293	владею	владеть	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#162.66#162.933
294	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#162.933#163.206
295	ну	ну	INTJ	_	@dib1981m-words#@dib1981m-words#163.206#163.479
296	уверен	уверенный	ADJ	Degree=Pos|Gender=Masc|Number=Sing|Variant=Short	@dib1981m-words#@dib1981m-words#163.479#163.752
297	с	с	ADP	_	@dib1981m-words#@dib1981m-words#163.752#164.025
298	моей	мой	PRON	Case=Gen|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#164.025#164.298
299	точки	точка	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#164.298#164.571
300	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#164.571#164.844
301	как	как	SCONJ	_	@dib1981m-words#@dib1981m-words#164.844#165.117
302	бы	бы	PART	_	@dib1981m-words#@dib1981m-words#165.117#165.39
303	если	если	SCONJ	_	@dib1981m-words#@dib1981m-words#165.39#165.663
304	покопаться	покопаться	VERB	Aspect=Perf|VerbForm=Inf|Voice=Mid	@dib1981m-words#@dib1981m-words#165.663#165.936
305	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#165.936#166.209
306	можно	можно	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#166.209#166.482
307	найти	найти	VERB	Aspect=Perf|VerbForm=Inf|Voice=Act	@dib1981m-words#@dib1981m-words#166.482#166.755
308	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#166.755#167.028
309	но	но	CCONJ	_	@dib1981m-words#@dib1981m-words#167.028#167.301
310	вот	вот	PART	_	@dib1981m-words#@dib1981m-words#167.301#167.574
311	эти	этот	DET	Case=Acc|Number=Plur	@dib1981m-words#@dib1981m-words#167.574#167.847
312	детали	деталь	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur	@dib1981m-words#@dib1981m-words#167.847#168.12
313	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#168.12#168.393
314	они	они	PRON	Case=Nom|Number=Plur|Person=3	@dib1981m-words#@dib1981m-words#168.393#168.666
315	общей	общий	ADJ	Case=Acc|Degree=Pos|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#168.666#168.939
316	картины	картина	NOUN	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#168.939#169.212
317	не	не	PART	_	@dib1981m-words#@dib1981m-words#169.212#169.485
318	нарисуют	нарисовать	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#169.485#169.813
319	Да	да	PART	_	@dib1981m-words#@dib1981m-words#174.126#174.398
320	Нет	нет	PART	_	@dib1981m-words#@dib1981m-words#182.236#182.459
321	к	к	ADP	_	@dib1981m-words#@dib1981m-words#182.459#182.682
322	сожалению	сожаление	NOUN	Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#182.682#182.906
323	то	то	PRON	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#215.101#215.357
324	есть	быть	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#215.357#215.613
325	у	у	ADP	_	@dib1981m-words#@dib1981m-words#215.613#215.869
326	вас	вы	PRON	Case=Gen|Number=Plur|Person=2	@dib1981m-words#@dib1981m-words#215.869#216.125
327	изнасилование	изнасилование	NOUN	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#216.125#216.381
328	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#216.381#216.637
329	да	да	PART	_	@dib1981m-words#@dib1981m-words#216.637#216.893
330	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#216.893#217.149
331	это	это	PRON	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#217.149#217.405
332	конечно	конечно	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#217.405#217.661
333	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#217.661#217.917
334	ну	ну	INTJ	_	@dib1981m-words#@dib1981m-words#217.917#218.173
335	не	не	PART	_	@dib1981m-words#@dib1981m-words#218.173#218.429
336	справедливо	справедливый	ADJ	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	@dib1981m-words#@dib1981m-words#218.429#218.685
337	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#218.685#218.941
338	но	но	CCONJ	_	@dib1981m-words#@dib1981m-words#218.941#219.203
339	ээ	ээ	INTJ	_	@dib1981m-words#@dib1981m-words#219.846#220.059
340	при	при	ADP	_	@dib1981m-words#@dib1981m-words#220.059#220.272
341	чем	что	PRON	Case=Loc	@dib1981m-words#@dib1981m-words#220.272#220.485
342	здесь	здесь	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#220.485#220.698
343	равноправие	равноправие	NOUN	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#220.698#220.911
344	?	?	PUNCT	_	@dib1981m-words#@dib1981m-words#220.911#221.126
345	вот	вот	PART	_	@dib1981m-words#@dib1981m-words#221.532#221.742
346	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#221.742#221.952
347	вот	вот	PART	_	@dib1981m-words#@dib1981m-words#221.952#222.162
348	я	я	PRON	Case=Nom|Number=Sing|Person=1	@dib1981m-words#@dib1981m-words#222.162#222.372
349	вот	вот	PART	_	@dib1981m-words#@dib1981m-words#222.372#222.582
350	этого	это	PRON	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#222.582#222.792
351	понять	понять	VERB	Aspect=Perf|VerbForm=Inf|Voice=Act	@dib1981m-words#@dib1981m-words#222.792#223.002
352	не	не	PART	_	@dib1981m-words#@dib1981m-words#223.002#223.212
353	могу	мочь	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#223.212#223.43
354	а	а	CCONJ	_	@dib1981m-words#@dib1981m-words#223.849#224.185
355	законодательно	законодательно	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#224.185#224.521
356	как	как	SCONJ	_	@dib1981m-words#@dib1981m-words#224.521#224.857
357	огородить	огородить	VERB	Aspect=Perf|VerbForm=Inf|Voice=Act	@dib1981m-words#@dib1981m-words#224.857#225.193
358	?	?	PUNCT	_	@dib1981m-words#@dib1981m-words#225.193#225.529
359	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#225.529#225.865
360	что…	что	CCONJ	_	@dib1981m-words#@dib1981m-words#225.865#226.203
361	это	это	PRON	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#232.007#232.159
362	я	я	PRON	Case=Nom|Number=Sing|Person=1	@dib1981m-words#@dib1981m-words#232.159#232.311
363	слышал	слышать	VERB	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#232.311#232.463
364	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#232.463#232.615
365	да	да	CCONJ	_	@dib1981m-words#@dib1981m-words#232.615#232.77
366	ну	ну	INTJ	_	@dib1981m-words#@dib1981m-words#242.959#243.213
367	вы	вы	PRON	Case=Nom|Number=Plur|Person=2	@dib1981m-words#@dib1981m-words#243.213#243.467
368	замечаете	замечать	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#243.467#243.721
369	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#243.721#243.975
370	что	что	SCONJ	_	@dib1981m-words#@dib1981m-words#243.975#244.229
371	во	во	ADP	_	@dib1981m-words#@dib1981m-words#244.229#244.483
372	время	время	NOUN	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#244.483#244.737
373	насилия	насилие	NOUN	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#244.737#244.991
374	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#244.991#245.245
375	да	да	CCONJ	_	@dib1981m-words#@dib1981m-words#245.245#245.499
376	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#245.499#245.753
377	будь	быть	VERB	Aspect=Imp|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#245.753#246.007
378	то	то	PRON	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#246.007#246.261
379	домашнее	домашний	ADJ	Case=Nom|Degree=Pos|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#246.261#246.515
380	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#246.515#246.769
381	домашнее	домашний	ADJ	Case=Nom|Degree=Pos|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#246.769#247.023
382	существует	существовать	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#247.023#247.277
383	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#247.277#247.531
384	вот	вот	PART	_	@dib1981m-words#@dib1981m-words#247.531#247.785
385	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#247.785#248.039
386	если	если	SCONJ	_	@dib1981m-words#@dib1981m-words#248.039#248.293
387	девушка	девушка	NOUN	Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#248.293#248.547
388	ударила	ударить	VERB	Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#248.547#248.801
389	парня	парень	NOUN	Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#248.801#249.055
390	пощечина	пощечина	NOUN	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#249.055#249.309
391	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#249.309#249.563
392	это	это	PRON	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#249.563#249.817
393	как	как	SCONJ	_	@dib1981m-words#@dib1981m-words#249.817#250.071
394	бы	бы	PART	_	@dib1981m-words#@dib1981m-words#250.071#250.325
395	вот	вот	PART	_	@dib1981m-words#@dib1981m-words#250.325#250.579
396	урок	урок	NOUN	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#250.579#250.833
397	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#250.833#251.087
398	а	а	CCONJ	_	@dib1981m-words#@dib1981m-words#251.087#251.341
399	если	если	SCONJ	_	@dib1981m-words#@dib1981m-words#251.341#251.595
400	мужчина	мужчина	NOUN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#251.595#251.849
401	ударил	ударить	VERB	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#251.849#252.103
402	пощечин	пощечина	NOUN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#252.103#252.357
403	женщину	женщина	NOUN	Animacy=Anim|Case=Acc|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#252.357#252.611
404	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#252.611#252.865
405	девушку	девушка	NOUN	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#252.865#253.119
406	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#253.119#253.373
407	то	то	SCONJ	_	@dib1981m-words#@dib1981m-words#253.373#253.627
408	это	это	PRON	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#253.627#253.881
409	сразу	сразу	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#253.881#254.135
410	же	же	PART	_	@dib1981m-words#@dib1981m-words#254.135#254.389
411	насилие	насилие	NOUN	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#254.389#254.652
412	ну	ну	INTJ	_	@dib1981m-words#@dib1981m-words#259.174#259.47
413	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#259.47#259.766
414	тогда	тогда	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#259.766#260.062
415	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#260.062#260.358
416	что	что	PRON	Case=Acc	@dib1981m-words#@dib1981m-words#260.358#260.654
417	демотизирует	демотизировать	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#260.654#260.95
418	насилие	насилие	NOUN	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#260.95#261.246
419	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#261.246#261.542
420	домашнее	домашний	ADJ	Case=Nom|Degree=Pos|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#261.542#261.838
421	то	то	DET	Case=Nom|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#261.838#262.134
422	это	это	PRON	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#262.134#262.43
423	получается	получаться	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	@dib1981m-words#@dib1981m-words#262.43#262.726
424	абсолютное	абсолютный	ADJ	Case=Nom|Degree=Pos|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#262.726#263.022
425	равноправие	равноправие	NOUN	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#263.022#263.322
426	зарегистрированных	регистрировать	VERB	Aspect=Perf|Case=Gen|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass	@dib1981m-words#@dib1981m-words#268.069#268.3
427	случаев	случай	NOUN	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	@dib1981m-words#@dib1981m-words#268.3#268.531
428	?	?	PUNCT	_	@dib1981m-words#@dib1981m-words#268.531#268.762
429	может	мочь	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#270.639#270.907
430	мужчине	мужчина	NOUN	Animacy=Anim|Case=Dat|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#270.907#271.175
431	как	как	SCONJ	_	@dib1981m-words#@dib1981m-words#271.175#271.443
432	бы	бы	PART	_	@dib1981m-words#@dib1981m-words#271.443#271.711
433	стыдно	стыдно	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#271.711#271.979
434	пойти	пойти	VERB	Aspect=Perf|VerbForm=Inf|Voice=Act	@dib1981m-words#@dib1981m-words#271.979#272.247
435	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#272.247#272.515
436	что	что	SCONJ	_	@dib1981m-words#@dib1981m-words#272.515#272.783
437	его	он	PRON	Case=Acc|Gender=Masc|Number=Sing|Person=3	@dib1981m-words#@dib1981m-words#272.783#273.051
438	бьет	бить	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#273.051#273.319
439	жена	жена	NOUN	Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#273.319#273.596
440	если	если	SCONJ	_	@dib1981m-words#@dib1981m-words#274.143#274.478
441	регистрацию	регистрация	NOUN	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#274.478#274.813
442	там	там	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#274.813#275.148
443	пройти	пройти	VERB	Aspect=Perf|VerbForm=Inf|Voice=Act	@dib1981m-words#@dib1981m-words#275.148#275.483
444	но	но	CCONJ	_	@dib1981m-words#@dib1981m-words#280.668#280.869
445	как	как	SCONJ	_	@dib1981m-words#@dib1981m-words#280.869#281.07
446	бы	бы	PART	_	@dib1981m-words#@dib1981m-words#281.07#281.271
447	по-другому	по-другому	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#281.271#281.472
448	их	они	PRON	Case=Acc|Number=Plur|Person=3	@dib1981m-words#@dib1981m-words#281.472#281.673
449	собрали	собрать	VERB	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#281.673#281.874
450	данные	данные	NOUN	Animacy=Inan|Case=Acc|Number=Plur	@dib1981m-words#@dib1981m-words#281.874#282.075
451	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#282.075#282.276
452	кроме	кроме	ADP	_	@dib1981m-words#@dib1981m-words#282.276#282.477
453	как	как	SCONJ	_	@dib1981m-words#@dib1981m-words#282.477#282.678
454	регистрация	регистрация	NOUN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#282.678#282.879
455	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#282.879#283.08
456	больше	больше	ADV	Degree=Cmp	@dib1981m-words#@dib1981m-words#283.08#283.281
457	никак	никак	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#283.281#283.483
458	опросы	опрос	NOUN	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	@dib1981m-words#@dib1981m-words#283.864#284.153
459	проводили	проводить	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#284.153#284.442
460	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#284.442#284.731
461	мене	меня	NOUN	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#284.731#285.02
462	не	не	PART	_	@dib1981m-words#@dib1981m-words#285.02#285.309
463	опрашивали	опрашивать	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#285.309#285.601
464	нет	нет	PART	_	@dib1981m-words#@dib1981m-words#289.71#289.994
465	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#289.994#290.278
466	я	я	PRON	Case=Nom|Number=Sing|Person=1	@dib1981m-words#@dib1981m-words#290.278#290.562
467	считаю	считать	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#290.562#290.846
468	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#290.846#291.13
469	что	что	SCONJ	_	@dib1981m-words#@dib1981m-words#291.13#291.414
470	мужчины	мужчина	NOUN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	@dib1981m-words#@dib1981m-words#291.414#291.698
471	наверняка	наверняка	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#291.698#291.982
472	бьют	бить	VERB	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#291.982#292.266
473	чаще	часто	ADV	Degree=Cmp	@dib1981m-words#@dib1981m-words#292.266#292.55
474	жен	жена	NOUN	Animacy=Anim|Case=Acc|Gender=Fem|Number=Plur	@dib1981m-words#@dib1981m-words#292.55#292.834
475	своих	свой	DET	Case=Gen|Number=Plur	@dib1981m-words#@dib1981m-words#292.834#293.127
476	но	но	CCONJ	_	@dib1981m-words#@dib1981m-words#293.953#294.321
477	я	я	PRON	Case=Nom|Number=Sing|Person=1	@dib1981m-words#@dib1981m-words#294.321#294.689
478	не	не	PART	_	@dib1981m-words#@dib1981m-words#294.689#295.057
479	понимаю	понимать	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#295.057#295.425
480	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#295.425#295.793
481	как	как	SCONJ	_	@dib1981m-words#@dib1981m-words#295.793#296.161
482	здесь	здесь	ADV	Degree=Pos	@dib1981m-words#@dib1981m-words#296.161#296.529
483	неравноправие	неравноправие	NOUN	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#296.529#296.897
484	выглядит	выглядеть	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	@dib1981m-words#@dib1981m-words#296.897#297.265
485	вот	вот	PART	_	@dib1981m-words#@dib1981m-words#297.265#297.633
486	это	это	PRON	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#298.174#298.458
487	же	же	PART	_	@dib1981m-words#@dib1981m-words#298.458#298.742
488	просто	просто	PART	_	@dib1981m-words#@dib1981m-words#298.742#299.026
489	вот…	вот	PART	_	@dib1981m-words#@dib1981m-words#299.026#299.31
490	то	то	PRON	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#299.31#299.594
491	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#299.594#299.878
492	что	что	SCONJ	_	@dib1981m-words#@dib1981m-words#299.878#300.162
493	мужчина	мужчина	NOUN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	@dib1981m-words#@dib1981m-words#300.162#300.446
494	сильнее	сильный	ADJ	Degree=Cmp	@dib1981m-words#@dib1981m-words#300.446#300.73
495	женщины	женщина	NOUN	Animacy=Anim|Case=Nom|Gender=Fem|Number=Plur	@dib1981m-words#@dib1981m-words#300.73#301.014
496	и	и	CCONJ	_	@dib1981m-words#@dib1981m-words#301.014#301.298
497	он	он	PRON	Case=Nom|Gender=Masc|Number=Sing|Person=3	@dib1981m-words#@dib1981m-words#301.298#301.582
498	этим	это	PRON	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#301.582#301.866
499	пользуется	пользоваться	VERB	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	@dib1981m-words#@dib1981m-words#301.866#302.15
500	/	/	PUNCT	_	@dib1981m-words#@dib1981m-words#302.15#302.434
501	это	это	PRON	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	@dib1981m-words#@dib1981m-words#302.434#302.718
502	логично	логичный	ADJ	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	@dib1981m-words#@dib1981m-words#302.718#303.002
503	с	с	ADP	_	@dib1981m-words#@dib1981m-words#303.002#303.286
504	точки	точка	NOUN	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	@dib1981m-words#@dib1981m-words#303.286#303.57
